Player,Team,Pts,Tot,R,P,KR,PR,IR,FR,BK,BP,FGR,PAT,FG,Conv,Saf,"Stat Type"
"Gardner Minshew",WSU,24,4,4,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
"Steven Montez",COL,24,4,4,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
"Bolu Olorunfunmi",UCLA,24,4,4,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
"Cedric Peterson",ARIZ,24,4,0,4,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
"Artavis Pierce",ORST,24,4,4,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
"Caleb Wilson",UCLA,24,4,0,4,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
"Zach Emerson",ORE,21,0,0,0,0,0,0,0,0,0,0,21/22,0/1,0,0,Scoring
"Brandon Aiyuk",AZST,18,3,0,3,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
"Ugo Amadi",ORE,18,3,0,0,0,1,2,0,0,0,0,0/0,0/0,0,0,Scoring
"Gary Brightwell",ARIZ,18,3,3,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
"Timmy Hernandez",ORST,18,3,0,3,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
"Cade Otton",WASH,18,3,0,3,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
"Drew Sample",WASH,18,3,0,3,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
"Jason Shelley",UTAH,18,3,3,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
"Amon-Ra St. Brown",USC,18,3,0,3,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
"Noah Togiai",ORST,18,3,0,3,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
"Evan Price",COL,17,0,0,0,0,0,0,0,0,0,0,5/5,4/5,0,0,Scoring
"Justin Herbert",ORE,14,2,2,0,0,0,0,0,0,0,0,0/0,0/0,1,0,Scoring
"Kazmeir Allen",UCLA,12,2,1,1,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
"Stanley Berryhill III",ARIZ,12,2,0,2,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
"Jacob Breeland",ORE,12,2,0,2,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
"Stephen Carr",USC,12,2,2,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
"Frank Darby",AZST,12,2,0,2,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
"Ashtyn Davis",CAL,12,2,0,0,1,0,1,0,0,0,0,0/0,0/0,0,0,Scoring
"Elkanah Dillon",ORE,12,2,0,2,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
"Jaylen Dixon",UTAH,12,2,0,2,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
"Michael Ezeike",UCLA,12,2,0,2,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
"Cole Fotheringham",UTAH,12,2,0,2,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
"Chase Garbers",CAL,12,2,2,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
"Travell Harris",WSU,12,2,0,1,1,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
"Darnay Holmes",UCLA,12,2,0,0,1,0,1,0,0,0,0,0/0,0/0,0,0,Scoring
"Trenton Irwin",STAN,12,2,0,2,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
"Calvin Jackson Jr.",WSU,12,2,0,2,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
"Jake Jackson",UTAH,12,2,0,2,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
"Velus Jones Jr.",USC,12,2,1,1,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
"Jay MacIntyre",COL,12,2,0,2,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
